org_pac_id,org_name,n_mddo,state,is_kaiser,ratio_fnb,ratio_non
1355512252,MEDICAL ASSOCIATES OF ENGLEWOOD PC,361,NJ,false,1.0953,1.2314
1355667056,MEDSTAR MEDICAL GROUP - SOUTHERN MARYLAND LLC,110,MD,false,1.1273,0.8234
1355792276,KOOTENAI HEALTH INC,180,ID,false,0.981,1.0271
1456243641,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,206,NY,false,1.1444,1.066
1456258979,WATSON CLINIC LLP,121,FL,false,0.9719,1.0048
1456265362,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,108,AK,false,0.7754,0.6665
1456592351,SVMHS CLINICS,124,CA,false,1.2183,1.1869
1557269354,SAINT THOMAS MEDICAL PARTNERS,250,TN,false,1.0039,1.0145
1557270725,GOOD SAMARITAN HOSPITAL CORVALLIS,173,OR,false,1.2076,1.1913
1557274057,"HONORHEALTH MEDICAL GROUP, LLC",223,AZ,false,0.88,0.7191
1557391596,YAKIMA VALLEY MEMORIAL PHYSICIANS,118,WA,false,1.0957,1.1669
1557722410,ADVENTHEALTH PRIMARY CARE NETWORK INC,143,FL,false,1.0322,0.7741
1658280748,CITY AND COUNTY OF SAN FRANCISCO,124,CA,false,0.4975,0.3297
1658289624,AGNESIAN HEALTHCARE INC,133,WI,false,1.139,1.2034
1658364740,"BAYHEALTH MEDICAL CENTER, INC",142,DE,false,1.0642,0.8066
1658427042,LAKELAND MEDICAL PRACTICES,133,MI,false,1.0189,1.0136
1658468442,NUVANCE HEALTH MEDICAL PRACTICE PC,218,NY,false,1.0369,0.7717
1759276975,GREATER BALTIMORE MEDICAL CENTER INC,182,MD,false,0.9446,0.9745
1759290992,CORA HEALTH SERVICES INC,580,FL,false,1.0407,1.0662
1759293111,ALBANY MEDICAL COLLEGE,347,NY,false,1.0372,1.1933
1759293954,GROUP HEALTH PLAN INC,749,MN,false,0.7774,0.7721
1759294887,"THEDACARE, INCORPORATED",230,WI,false,0.9669,0.8999
1759295512,VIA AFFILIATES,101,PA,false,1.1144,1.2046
1759416662,COMMUNITY PHYSICIANS OF INDIANA INC,651,IN,false,1.0724,0.9281
1759439631,LAWRENCE MEDICAL ASSOCIATES PC,106,NY,false,1.0189,0.5961
1850203555,CLEVELAND CLINIC,2678,OH,false,0.9758,0.9701
1850204041,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,189,NC,false,1.2031,0.9056
1850204363,ACS PRIMARY CARE PHYSICIANS SOUTHWEST PA,103,TX,false,0.8968,0.2849
1850209420,IHC HEALTH SERVICES INC,1642,UT,false,0.9109,0.8254
1850282914,OAKWOOD AMBULATORY LLC,254,MI,false,0.8725,0.4486
1850293036,STATE OF MISSISSIPPI-UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,316,MS,false,1.0656,1.1158
1850296534,COUNTY OF LOS ANGELES,194,CA,false,0.923,0.7768
1850298365,HOLY CROSS HOSPITAL INC,144,FL,false,1.0811,1.0556
1850570458,TRIHEALTH H LLC,436,OH,false,1.0878,1.0662
1850689894,CAPITAL HEALTH MULTISPECIALTY GROUP,112,NJ,false,1.2282,0.4681
1850779976,BON SECOURS MEDICAL GROUP GREENVILLE SPECIALTY CARE LLC,151,SC,false,1.0183,1.0141
1951210418,ALEGENT CREIGHTON CLINIC,451,NE,false,1.1063,1.0949
1951213057,FAIRVIEW HEALTH SERVICES,285,MN,false,0.7145,0.4895
1951213107,"UNIVERSITY OF ALABAMA HEALTH SERVICES FOUNDATION, PC",896,AL,false,0.9197,1.0634
1951213115,WELLSPAN MEDICAL GROUP,899,PA,false,0.8972,0.8719
1951215201,MAIN LINE HEALTHCARE,586,PA,false,1.0637,0.9386
1951215243,ANMED HEALTH,163,SC,false,1.066,1.2072
1951299163,PIEDMONT HOSPITALIST PHYSICIANS LLC,217,GA,false,1.0809,0.5309
1951324318,COMMUNITY CARE SERVICES LLC,229,NV,false,0.9197,1.0151
1951623834,LAWRENCE PHYSICIANS LLC,106,KS,false,1.0095,0.7554
1951707884,MERCY HEALTH PHYSICIANS NORTH SPECIALTY CARE LLC,158,OH,false,1.0931,1.1432
1951828847,NORTH CAROLINA MG LLC,257,NC,false,0.9717,1.0713
2062314826,YUMA REGIONAL MEDICAL CENTER,132,AZ,false,1.0804,0.9799
2062315161,EASTERN MAINE MEDICAL CENTER,233,ME,false,0.9769,1.0077
2062318975,UPMC COMMUNITY MEDICINE INC,349,PA,false,0.9152,0.7588
2062773138,BHSM REHABILITATION LLC,131,AZ,false,1.0015,1.0309
2163326240,SUMMIT MEDICAL GROUP INC,438,KY,false,1.0642,1.058
2163328196,THE POLYCLINIC PLLC,131,WA,false,0.848,0.6498
2163331414,GUNDERSEN LUTHERAN MEDICAL CENTER INC,315,WI,false,0.7623,0.7532
2163334699,ENDEAVOR HEALTH MEDICAL GROUP,1550,IL,false,1.0203,0.9649
2163335878,CMC DEPARTMENT OF MEDICINE GROUP PA,259,NJ,false,1.0501,0.9533
2163336967,PARKVIEW HEALTH SYSTEM INC,529,IN,false,1.0845,0.9317
2163339722,LEGACY HEALTHCARE SERVICES INC,1221,NC,false,1.0094,1.0768
2264323633,MYMICHIGAN MEDICAL CENTER MIDLAND,153,MI,false,0.944,0.9203
2264336460,SUSQUEHANNA PHYSICIAN SERVICES,169,PA,false,0.9923,0.8282
2264336528,LAHEY CLINIC INC,601,MA,false,0.8524,0.9604
2264337021,H LEE MOFFITT CANCER CTR AND RES INST LIFE TIME CANCER SCRN CTR INC,284,FL,false,0.975,1.1287
2264344480,UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY LLC,682,OH,false,0.9059,0.94
2264691070,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1712,NY,false,0.963,1.0296
2365348190,PROMEDICA CENTRAL PHYSICIANS,209,OH,false,1.1083,1.1207
2365352820,SIU PHYSICIANS AND SURGEONS INC,170,IL,false,0.893,1.033
2365359932,POWERBACK REHABILITATION LLC,154,MI,false,1.0468,1.1304
2365408465,INTEGRIS AMBULATORY CARE CORPORATION,367,OK,false,1.0632,1.0827
2365440567,"GASTRO HEALTH, LLC",136,FL,false,1.0294,1.1643
2365679057,FLORIDA HOSPITAL PHYSICIAN GROUP INC,362,FL,false,1.0967,1.064
2365697398,"GEORGETOWN PHYSICIAN ASSOCIATES, LLC",111,SC,false,1.086,1.0358
2365735008,ADVANTAGECARE PHYSICIANS PC,186,NY,false,0.812,0.5676
2365807633,HOSPITAL MEDICINE SERVICES OF TN LLC,155,TN,false,1.1576,0.5964
2365968351,MCLAREN HOSPITAL GROUP,160,MI,false,1.1922,1.2244
2466346291,"STATE OF FRANKLIN HEALTHCARE ASSOCIATES, PLLC",105,TN,false,1.0404,0.9958
2466350657,PACMED CLINICS,114,WA,false,0.9124,0.5367
2466351093,INOVA HEALTH CARE SERVICES,750,VA,false,0.9922,0.9862
2466351440,IHA HEALTH SERVICES CORPORATION,636,MI,false,0.7304,0.7077
2466363395,CENTRACARE CLINIC,264,MN,false,1.0566,0.9778
2466364997,SOUTHEASTERN EMERGENCY PHYSICIANS LLC,468,TN,false,1.0619,0.7343
2466365820,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION INC,1362,MA,false,0.8646,1.1387
2466524012,MEMORIAL HOSPITAL AT GULFPORT,198,MS,false,1.0719,1.0445
2466581772,INOVA PHYSICIAN PARTNERS LLC,197,VA,false,0.7219,0.2604
2466629522,NORTH OAKS MEDICAL CENTER LLC,108,LA,false,1.1067,0.9991
2466711536,USACS COMMUNITY EMERGENCY SERVICES OF COLORADO INC.,163,CO,false,0.6697,0.7592
2466788377,WAKEMED SPECIALISTS GROUP LLC,302,NC,false,0.9651,1.0117
2466831557,QUEENS UNIVERSITY MEDICAL GROUP,301,HI,false,1.0817,1.0812
2567356058,"FLORIDA CANCER SPECIALISTS AND RESEARCH INSTITUTE, LLC",240,FL,false,1.038,1.0553
2567359839,MASS GENERAL BRIGHAM MEDICAL GROUP WESTERN MASSACHUSETTS INC,111,MA,false,0.8892,1.0146
2567366016,HARTFORD HOSPITAL,197,CT,false,1.0226,1.3869
2567366495,"ST. JOHN PHYSICIANS, INC.",128,OK,false,0.9844,1.0577
2567372345,"DUKE UNIVERSITY HEALTH SYSTEM, INC",198,NC,false,0.504,0.6164
2567374036,ROCKFORD HEALTH PHYSICIANS,108,IL,false,1.1178,0.718
2567374283,THE DULUTH CLINIC LTD,292,MN,false,0.8042,0.7966
